publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
crooked line: from cultural history to the history of society		9780472069040							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12785.9780472021413	Eley	/ebooks/ebooks2/pda/2011-12-01/1/12785.9780472021413		fulltext		University of Michigan Press	monograph	2005							P
cruise ship tourism		9781845930493							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10232.9781845930486		/ebooks/ebooks2/pda/2011-12-01/1/10232.9781845930486		fulltext		CABI	monograph	2006				Dowling			P
curious feminist: searching for women in a new age of empire									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8243.0520243811	Enloe	/ebooks/ebooks2/pda/2011-12-01/1/8243.0520243811		fulltext		University of California Press	monograph	2004							P
dangerous brown men: exploiting sex, violence and feminism in the war on terror		9781842778784							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12965.9781848133587	Bhattacharyya	/ebooks/ebooks2/pda/2011-12-01/1/12965.9781848133587		fulltext		Zed Books ; Distributed in the USA exclusively by Palgrave Macmillan	monograph	2008							P
data warehousing fundamentals: a comprehensive guide for it professionals		9780471412540							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13567.9780471463894	Ponniah	/ebooks/ebooks2/pda/2011-12-01/1/13567.9780471463894		fulltext		Wiley	monograph	2001							P
design risk management: contribution to health and safety		9781405132756							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15331.9781444318906	Summerhayes	/ebooks/ebooks2/pda/2011-12-01/1/15331.9781444318906		fulltext		Blackwell	monograph	2010							P
design, evaluation, and analysis of questionnaires for survey research		9780470114957							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13556.9780470165188	Saris	/ebooks/ebooks2/pda/2011-12-01/1/13556.9780470165188		fulltext		Wiley-Interscience	monograph	2007							P
designer's workspace: ultimate office design		9780750657396							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10651.9780750657396	Caywood	/ebooks/ebooks2/pda/2011-12-01/1/10651.9780750657396		fulltext		Architectural Press	monograph	2004							P
designing solutions for your business problems: a structured process for managers and consultants									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13562.9780787972660	Vandenbosch	/ebooks/ebooks2/pda/2011-12-01/1/13562.9780787972660		fulltext		Jossey-Bass	monograph	2003			1st ed.				P
development fieldwork: a practical guide									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8698.0761948899		/ebooks/ebooks2/pda/2011-12-01/1/8698.0761948899		fulltext		SAGE	monograph	2003				Scheyvens			P
development theory: deconstructions/reconstructions		9781412945141							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14603.9781412945158	Nederveen Pieterse	/ebooks/ebooks2/pda/2011-12-01/1/14603.9781412945158		fulltext		SAGE	monograph	2009			2nd ed.				P
diagnosing learning disorders: a neuropsychological framework		9781593857141							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12612.9781606230855	Pennington	/ebooks/ebooks2/pda/2011-12-01/1/12612.9781606230855		fulltext		Guilford Press	monograph	2009			2nd ed.				P
dialectical behavior therapy with suicidal adolescents		9781593853839							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10999.159385661X	Miller	/ebooks/ebooks2/pda/2011-12-01/1/10999.159385661X		fulltext		Guilford Press	monograph	2007							P
dictionary of human geography		9781405132879							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13634.9781444310566		/ebooks/ebooks2/pda/2011-12-01/1/13634.9781444310566		fulltext		Blackwell	monograph	2009			5th ed.	Gregory			P
differential equations with mathematica									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10651.9780120415625	Abell	/ebooks/ebooks2/pda/2011-12-01/1/10651.9780120415625		fulltext		Elsevier Academic Press	monograph	2004			3rd ed.				P
differential equations, dynamical systems, and an introduction to chaos									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10588.9780123497031	Hirsch	/ebooks/ebooks2/pda/2011-12-01/1/10588.9780123497031		fulltext		Academic Press	monograph	2004		v. 60	2nd ed.				P
differentiated instruction for the middle school science teacher: activities and strategies for an inclusive classroom		9780787984670							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15287.9780470585153	D'Amico	/ebooks/ebooks2/pda/2011-12-01/1/15287.9780470585153		fulltext		Jossey-Bass	monograph	2010							P
diffusion of innovations in health service organisations: a systematic literature review		9780727918697							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12137.9780470987278	Greenhalgh	/ebooks/ebooks2/pda/2011-12-01/1/12137.9780470987278		fulltext		Blackwell	monograph	2005							P
digital city: the american metropolis and information technology									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12619.9780230511347	Laguerre	/ebooks/ebooks2/pda/2011-12-01/1/12619.9780230511347		fulltext		Palgrave Macmillan	monograph	2005							P
digital media and democracy: tactics in hard times		9780262026420							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11905.9780262026420		/ebooks/ebooks2/pda/2011-12-01/1/11905.9780262026420		fulltext		MIT Press	monograph	2008				Boler			P
digital signal processing using matlab		9781848210110							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15000.9780470393574		/ebooks/ebooks2/pda/2011-12-01/1/15000.9780470393574		fulltext		ISTE ; Wiley	monograph	2008				Quinquis			P
digitizing race: visual cultures of the internet		9780816646128							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11661.9780816646128	Nakamura	/ebooks/ebooks2/pda/2011-12-01/1/11661.9780816646128		fulltext		University of Minnesota Press	monograph	2008		23					P
divorce and family mediation: models, techniques, and applications									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12752.9781606231586		/ebooks/ebooks2/pda/2011-12-01/1/12752.9781606231586		fulltext		Guilford Press	monograph	2004				Folberg			P
doing research in the real world									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12445.9780761948797	Gray	/ebooks/ebooks2/pda/2011-12-01/1/12445.9780761948797		fulltext		Sage Publications	monograph	2004							P
doing therapy with children and adolescents with asperger syndrome		9780470540251							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15331.9780470609149	Bromfield	/ebooks/ebooks2/pda/2011-12-01/1/15331.9780470609149		fulltext		John Wiley & Sons	monograph	2010							P
drug bioavailability: estimation of solubility, permeability, absorption and bioavailability		9783527304387							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13562.9783527605156		/ebooks/ebooks2/pda/2011-12-01/1/13562.9783527605156		fulltext		Wiley-VCH	monograph	2003		v. 18		Waterbeemd			P
drug discovery handbook									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13567.9780471728771		/ebooks/ebooks2/pda/2011-12-01/1/13567.9780471728771		fulltext		Wiley-Interscience	monograph	2005				Gad			P
eco-standards, product labelling and green consumerism		9780230537378							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13898.9780230584006	Boström	/ebooks/ebooks2/pda/2011-12-01/1/13898.9780230584006		fulltext		Palgrave Macmillan	monograph	2008							P
ecosystem ecology		9780444534668							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14501.9780444534668		/ebooks/ebooks2/pda/2011-12-01/1/14501.9780444534668		fulltext		Elsevier	monograph	2009				Jørgensen			P
elements of environmental chemistry		9780471998150							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12995.9780470140444	Hites	/ebooks/ebooks2/pda/2011-12-01/1/12995.9780470140444		fulltext		Wiley-Interscience	monograph	2007							P
elements of information theory		9780471241959							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13568.9780471748816	Cover	/ebooks/ebooks2/pda/2011-12-01/1/13568.9780471748816		fulltext		Wiley-Interscience	monograph	2006			2nd ed.				P
elusive quest for growth: economists' adventures and misadventures in the tropics		9780262550420							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11936.9780262550420	Easterly	/ebooks/ebooks2/pda/2011-12-01/1/11936.9780262550420		fulltext		MIT Press	monograph	2001							P
en)gendering the war on terror: war stories and camouflaged politics									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11504.9780754685661		/ebooks/ebooks2/pda/2011-12-01/1/11504.9780754685661		fulltext		Ashgate	monograph	2006				Hunt			P
enemy of nature: the end of capitalism or the end of the world?		9781842778715							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11980.9781848130470	Kovel	/ebooks/ebooks2/pda/2011-12-01/1/11980.9781848130470		fulltext		Zed Books ; Fernwood Pub. ; Distributed in the USA exclusively by Palgrave Macmillan	monograph	2007			2nd ed.				P
energy risk: valuing and managing energy derivatives		9780071485944							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11539.0071594477	Pilipović	/ebooks/ebooks2/pda/2011-12-01/1/11539.0071594477		fulltext		McGraw-Hill	monograph	2007			2nd ed.				P
engineering ethics: an industrial perspective									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9810.012088531X	Baura	/ebooks/ebooks2/pda/2011-12-01/1/9810.012088531X		fulltext		Elsevier Academic Press	monograph	2006							P
english verbs & essentials of grammar for esl learners									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14645.0071702032	Swick	/ebooks/ebooks2/pda/2011-12-01/1/14645.0071702032		fulltext		McGraw-Hill	monograph	2010							P
environmental and natural resources economics: theory, policy, and the sustainable society									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10732.9780765614728	Hackett	/ebooks/ebooks2/pda/2011-12-01/1/10732.9780765614728		fulltext		M.E. Sharpe	monograph	2006			3rd ed.				P
environmental biotechnology: concepts and applications		9783527305858							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13562.9783527604524		/ebooks/ebooks2/pda/2011-12-01/1/13562.9783527604524		fulltext		Wiley-VCH	monograph	2005				Jördening			P
environmental impacts of sugar production: the cultivation and processing of sugarcane and sugar beet									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8364.0851999816	Cheesman	/ebooks/ebooks2/pda/2011-12-01/1/8364.0851999816		fulltext		CABI International	monograph	2004							P
enzyme kinetics: a modern approach									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13560.9780471461418	Marangoni	/ebooks/ebooks2/pda/2011-12-01/1/13560.9780471461418		fulltext		Wiley-Interscience	monograph	2003							P
equity asset valuation		9780470571439							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15087.9780470579633	Pinto	/ebooks/ebooks2/pda/2011-12-01/1/15087.9780470579633		fulltext		Wiley	monograph	2010		27	2nd ed.				P
essential matlab for engineers and scientists		9780750684170							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15327.9780080471501	Valentine	/ebooks/ebooks2/pda/2011-12-01/1/15327.9780080471501		fulltext		Butterworth Heinemann	monograph	2007			3rd ed.				P
essential matlab for scientists and engineers		9780750652407							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12291.9780750652407	Hahn	/ebooks/ebooks2/pda/2011-12-01/1/12291.9780750652407		fulltext		Butterworth-Heinemann	monograph	2002			2nd ed.				P
essential medical physiology									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10456.0123875846		/ebooks/ebooks2/pda/2011-12-01/1/10456.0123875846		fulltext		Elsevier Academic Press	monograph	2003			3rd ed.	Johnson			P
essential neurology									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11379.9781405118675	Wilkinson	/ebooks/ebooks2/pda/2011-12-01/1/11379.9781405118675		fulltext		Blackwell Pub.	monograph	2005			4th ed.				P
essentials of 16pf assessment									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13567.9780471474135	Cattell	/ebooks/ebooks2/pda/2011-12-01/1/13567.9780471474135		fulltext		John Wiley & Sons	monograph	2003							P
ethics of postcommunism: history and social praxis in russia		9780230224131							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15212.9780230239555	Prozorov	/ebooks/ebooks2/pda/2011-12-01/1/15212.9780230239555		fulltext		Palgrave Macmillan	monograph	2009							P
ethics: the heart of health care		9780470018132							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12824.9780470773161	Seedhouse	/ebooks/ebooks2/pda/2011-12-01/1/12824.9780470773161		fulltext		Values Exchange	monograph	2009			3rd ed.				P
eurostars and eurocities: free movement and mobility in an integrating europe		9781405134040							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12668.9780470712580	Favell	/ebooks/ebooks2/pda/2011-12-01/1/12668.9780470712580		fulltext		Blackwell Pub.	monograph	2008							P
evocative objects: things we think with		9780262201681							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10930.9780262201681		/ebooks/ebooks2/pda/2011-12-01/1/10930.9780262201681		fulltext		MIT Press	monograph	2007				Turkle			P
excel 2007 vba macro programming		9780071627009							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14507.0071627014	Shepherd	/ebooks/ebooks2/pda/2011-12-01/1/14507.0071627014		fulltext		McGraw-Hill	monograph	2009							P
explaining reading: a resource for teaching concepts, skills, and strategies		9781606230756							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13311.9781606230893	Duffy	/ebooks/ebooks2/pda/2011-12-01/1/13311.9781606230893		fulltext		Guilford Press	monograph	2009			2nd ed.				P
extinction of desire: a tale of enlightenment		9781405148498							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12137.9780470777299	Boylan	/ebooks/ebooks2/pda/2011-12-01/1/12137.9780470777299		fulltext		Blackwell Pub.	monograph	2007							P
facilitator excellence handbook									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13569.9780787979805	Rees	/ebooks/ebooks2/pda/2011-12-01/1/13569.9780787979805		fulltext		Pfeiffer	monograph	2005			2nd ed.				P
fast forward mba in project management		9780470247891							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470374436	Verzuh	/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470374436		fulltext		John Wiley & Sons	monograph	2008			3rd ed.				P
feminine endings: music, gender, and sexuality									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11117.0816641897	McClary	/ebooks/ebooks2/pda/2011-12-01/1/11117.0816641897		fulltext		University of Minnesota Press	monograph	2002							P
first aid for the usmle step 1 2008		9780071498685							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11539.0071596194	Le	/ebooks/ebooks2/pda/2011-12-01/1/11539.0071596194		fulltext		McGraw-Hill Medical	monograph	2008							P
first course in finite elements		9780470035801							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13558.9780470510841	Fish	/ebooks/ebooks2/pda/2011-12-01/1/13558.9780470510841		fulltext		John Wiley & Sons Ltd.	monograph	2007							P
fitzpatrick's color atlas and synopsis of clinical dermatology		9780071599757							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13713.0071633421		/ebooks/ebooks2/pda/2011-12-01/1/13713.0071633421		fulltext		McGraw-Hill, Medical Pub. Division	monograph	2009			6th ed. /				P
fixed income analysis workbook		9780470052211							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13566.9780470189641	Fabozzi	/ebooks/ebooks2/pda/2011-12-01/1/13566.9780470189641		fulltext		J. Wiley	monograph	2007			2nd ed.				P
food and western disease: health and nutrition from an evolutionary perspective		9781405197717							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14750.9781444317183	Lindeberg	/ebooks/ebooks2/pda/2011-12-01/1/14750.9781444317183		fulltext		Wiley-Blackwell	monograph	2010							P
food processing: principles and applications	9780813819426								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470289976		/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470289976		fulltext		Blackwell Pub.	monograph	2004			1st ed.	Smith			P
forex made easy: 6 ways to trade the dollar	9780071438940								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8309.0071445978	Dicks	/ebooks/ebooks2/pda/2011-12-01/1/8309.0071445978		fulltext		McGraw-Hill	monograph	2004							P
forex trading course: a self-study guide to becoming a successful currency trader		9780470137642							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13556.9780470222607	Cofnas	/ebooks/ebooks2/pda/2011-12-01/1/13556.9780470222607		fulltext		John Wiley & Sons	monograph	2008							P
formulation and analytical development for low-dose oral drug products		9780470056097							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470386354		/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470386354		fulltext		John Wiley & Sons	monograph	2009				Zheng			P
fractal-based point processes									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13561.9780471754701	Lowen	/ebooks/ebooks2/pda/2011-12-01/1/13561.9780471754701		fulltext		Wiley-Interscience	monograph	2005							P
french grammar drills		9780071475136							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11351.0071593624	Kurbegov	/ebooks/ebooks2/pda/2011-12-01/1/11351.0071593624		fulltext		McGraw-Hill	monograph	2007							P
from genes to genomes: concepts and applications of dna technology		9780470856901							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13558.9780470518700	Dale	/ebooks/ebooks2/pda/2011-12-01/1/13558.9780470518700		fulltext		John Wiley & Sons	monograph	2007			2nd ed.				P
fundamentals of applied probability and random processes									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10588.0120885085	Ibe	/ebooks/ebooks2/pda/2011-12-01/1/10588.0120885085		fulltext		Elsevier Academic Press	monograph	2005							P
fundamentals of engineering thermodynamics									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13555.9780470032091	Moran	/ebooks/ebooks2/pda/2011-12-01/1/13555.9780470032091		fulltext		Wiley	monograph	2004			5th ed.				P
fundamentals of hvac systems: si edition		9780123739988							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10236.0123739985	McDowall	/ebooks/ebooks2/pda/2011-12-01/1/10236.0123739985		fulltext		American Society of Heating, Refrigerating and Air-Conditioning Engineers eLearning ; Elsevier	monograph	2007			SI ed.				P
fundraising for social change		9780787984557							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13569.9780787988203	Klein	/ebooks/ebooks2/pda/2011-12-01/1/13569.9780787988203		fulltext		Jossey-Bass, a Wiley Imprint	monograph	2007			5th ed., rev. & expanded.				P
genres of recollection: archival poetics and modern greece									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9738.1403981469	Papailias	/ebooks/ebooks2/pda/2011-12-01/1/9738.1403981469		fulltext		Palgrave Macmillan	monograph	2005							P
geometry: a self-teaching guide									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12921.9780471680192	Slavin	/ebooks/ebooks2/pda/2011-12-01/1/12921.9780471680192		fulltext		John Wiley & Sons	monograph	2005							P
global social policy & governance		9781412907620							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12445.9781412907620	Deacon	/ebooks/ebooks2/pda/2011-12-01/1/12445.9781412907620		fulltext		Sage Publications	monograph	2007							P
globalization: a critical introduction									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/5372.0333660218	Scholte	/ebooks/ebooks2/pda/2011-12-01/1/5372.0333660218		fulltext		Macmillan	monograph	2000							P
gmat quantitative review: the official guide		9781405141772							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13562.9781405152112	Graduate Management Admission Council	/ebooks/ebooks2/pda/2011-12-01/1/13562.9781405152112		fulltext		Graduate Management Admission Council	monograph	2005							P
gmat® verbal review: the official guide		9780470449752							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14076.9780470527207	Graduate Management Admission Council	/ebooks/ebooks2/pda/2011-12-01/1/14076.9780470527207		fulltext		Wiley Pub.	monograph	2009			2nd ed.				P
goodman & gilman's manual of pharmacology and therapeutics		9780071443432							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11539.0071593233		/ebooks/ebooks2/pda/2011-12-01/1/11539.0071593233		fulltext		McGraw-Hill Medical	monograph	2008				Brunton			P
goodman & gilman's the pharmacological basis of therapeutics		9780071422802							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12288.0071608915		/ebooks/ebooks2/pda/2011-12-01/1/12288.0071608915		fulltext		McGraw-Hill	monograph	2006			11th ed. /				P
great personal statements for law school									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9800.0071483373	Bodine	/ebooks/ebooks2/pda/2011-12-01/1/9800.0071483373		fulltext		McGraw-Hill	monograph	2006							P
greening brownfields: remediation through sustainable development		9780071609098							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15262.0071609105	Sarni	/ebooks/ebooks2/pda/2011-12-01/1/15262.0071609105		fulltext		McGraw-Hill	monograph	2010							P
group processes									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10123.0631208658		/ebooks/ebooks2/pda/2011-12-01/1/10123.0631208658		fulltext		Blackwell Publishers	monograph	2001				Hogg			P
growing up with autism: working with school-age children and adolescents		9781593854591							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11265.1593857314		/ebooks/ebooks2/pda/2011-12-01/1/11265.1593857314		fulltext		Guilford Press	monograph	2007				Gabriels			P
guide to microsoft excel 2007 for scientists and engineers		9780123746238							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13821.9780123746238	Liengme	/ebooks/ebooks2/pda/2011-12-01/1/13821.9780123746238		fulltext		Academic Press/Elsevier	monograph	2009							P
gypsy law: romani legal traditions and culture		9780520924277							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8120.0520221869		/ebooks/ebooks2/pda/2011-12-01/1/8120.0520221869		fulltext		University of California Press	monograph	2001				Weyrauch			P
handbook of affirmative psychotherapy with lesbians and gay men									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11628.9781593859183	Ritter	/ebooks/ebooks2/pda/2011-12-01/1/11628.9781593859183		fulltext		Guilford Press	monograph	2002							P
handbook of applied algorithms: solving scientific, engineering and practical problems		9780470044926							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13556.9780470175644		/ebooks/ebooks2/pda/2011-12-01/1/13556.9780470175644		fulltext		Wiley-Interscience	monograph	2008				Nayak			P
handbook of child development and early education: research to practice		9781606233023							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14221.9781606233061		/ebooks/ebooks2/pda/2011-12-01/1/14221.9781606233061		fulltext		Guilford Press	monograph	2009				Barbarin			P
handbook of experiential learning		9780787982584							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12995.9780470117392		/ebooks/ebooks2/pda/2011-12-01/1/12995.9780470117392		fulltext		Pfeiffer	monograph	2007				Silberman			P
handbook of financial intermediation and banking		9780444515582							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11967.9780444515582		/ebooks/ebooks2/pda/2011-12-01/1/11967.9780444515582		fulltext		North-Holland/Elsevier	monograph	2008				Thakor			P
handbook of pediatric psychology									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11628.9781593858285		/ebooks/ebooks2/pda/2011-12-01/1/11628.9781593858285		fulltext		Guilford Press	monograph	2003			3rd ed.	Roberts			P
handbook of practical program evaluation		9780787967130							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13562.9780787973889	Wholey	/ebooks/ebooks2/pda/2011-12-01/1/13562.9780787973889		fulltext		Jossey-Bass	monograph	2004			2nd ed.				P
handbook of psychological assessment		9780471420187							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14338.9780470438077	Groth-Marnat	/ebooks/ebooks2/pda/2011-12-01/1/14338.9780470438077		fulltext		John Wiley & Sons	monograph	2009			5th ed.				P
handbook of research methods in clinical psychology									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12016.9780470756737		/ebooks/ebooks2/pda/2011-12-01/1/12016.9780470756737		fulltext		Blackwell Pub.	monograph	2003		2		Roberts			P
handbook of sensor networks: algorithms and architectures									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13568.9780471744139		/ebooks/ebooks2/pda/2011-12-01/1/13568.9780471744139		fulltext		Wiley	monograph	2005				Stojmenović			P
handbook of socialization: theory and research		9781593856243							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10693.9781593856243		/ebooks/ebooks2/pda/2011-12-01/1/10693.9781593856243		fulltext		Guilford Press	monograph	2007				Grusec			P
handbook of sport psychology		9780471437369							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13566.9780470068243		/ebooks/ebooks2/pda/2011-12-01/1/13566.9780470068243		fulltext		John Wiley	monograph	2007			3rd ed.	Tenenbaum			P
hanging out, messing around, and geeking out: kids living and learning with new media		9780262013369							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14615.9780262258920		/ebooks/ebooks2/pda/2011-12-01/1/14615.9780262258920		fulltext		MIT Press	monograph	2009							P
harrison's principles of internal medicine		9780071599917							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12140.0071641149		/ebooks/ebooks2/pda/2011-12-01/1/12140.0071641149		fulltext		McGraw-Hill Medical	monograph	2008			17th ed.	Fauci			P
health behavior and health education: theory, research, and practice		9780787996147							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12410.9780470396292	Glanz	/ebooks/ebooks2/pda/2011-12-01/1/12410.9780470396292		fulltext		Jossey-Bass	monograph	2008			4th ed.				P
health benefits of organic food: effects of the environment		9781845934590							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12439.9781845934590		/ebooks/ebooks2/pda/2011-12-01/1/12439.9781845934590		fulltext		CABI	monograph	2008				Givens			P
health care information systems: a practical approach for health care management		9780470387801							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13573.9780470451687	Wager	/ebooks/ebooks2/pda/2011-12-01/1/13573.9780470451687		fulltext		Jossey-Bass	monograph	2009			2nd ed.				P
